time,coin,dir,px,sz,ntl,fee,closedPnl
12/31/2025 - 19:27:39,HYPE/USDC,Buy,25.844,1.74,44.968560000000004,0.00116927,-0.030218613880000002
12/31/2025 - 19:30:23,HYPE/USDC,Sell,25.835,1.73,44.69455,0.03003473,-0.07566987
12/31/2025 - 21:07:35,ETH,Open Long,2978.2,0.0067,19.95394,0.00862,-0.00862
12/31/2025 - 21:11:04,ETH,Open Long,2984.8,0.0002,0.59696,0.000257,-0.000257
12/31/2025 - 21:13:34,ETH,Long > Short,2982.9,0.0072,21.47688,0.009278,0.021841
12/31/2025 - 21:16:50,ETH,Open Short,2983.4,0.0036,10.74024,0.004639,-0.004639
12/31/2025 - 21:48:09,ETH,Open Short,2972.9,0.0031,9.21599,0.003981,-0.003981
12/31/2025 - 22:29:02,ETH,Close Short,2977.3,0.0058,17.26834,0.007459,0.0007769999999999999
12/31/2025 - 22:38:36,ETH,Close Short,2975,0.0012,3.57,0.001542,0.002922
12/31/2025 - 22:59:08,ETH,Open Long,2973.6,0.0058,17.246879999999997,0.00745,-0.00745
12/31/2025 - 23:02:11,ETH,Close Long,2972,0.0058,17.2376,0.007446,-0.016726
12/31/2025 - 23:08:02,ETH,Open Short,2970.4,0.0037,10.990480000000002,0.004747,-0.004747
12/31/2025 - 23:16:03,ETH,Close Short,2970.1,0.0037,10.989370000000001,0.004747,-0.0036370000000000005
12/31/2025 - 23:39:14,ETH,Open Short,2967.4,0.0043,12.759820000000001,0.005512,-0.005512
12/31/2025 - 23:52:50,ETH,Close Short,2968,0.0043,12.7624,0.005513,-0.008093
